Name,TEAMTEAM,WW,LL,ERAERA,Games,GSGS,CGCG,SHOSHO,SVSV,SVOSVO,IPIP,HH,RR,ERER,HRHR,HBHB,BBBB,SOSO,WHIPWHIP,AVGAVG
3AndrewA ChafinChafinP3‌‌‌,ARI,1,6,3.10,77,0,0,0,0,0,49.1,41,18,17,0,2,25,53,1.34,.227
3RyanR PresslyPresslyP3‌‌‌,HOU,2,1,2.54,77,0,0,0,2,8,71.0,57,21,20,6,3,22,101,1.11,.216
5JoseJ ÁlvarezAlvarezP5‌‌‌,LAA,6,4,2.71,76,0,0,0,1,4,63.0,51,20,19,3,2,22,59,1.16,.217
5ArchieA BradleyBradleyP5‌‌‌,ARI,4,5,3.64,76,0,0,0,3,11,71.2,62,30,29,9,4,20,75,1.14,.229
7YoshihisaY HiranoHiranoP7‌‌‌,ARI,4,3,2.44,75,0,0,0,3,7,66.1,49,22,18,6,2,23,59,1.09,.209
7AdamA OttavinoOttavinoP7‌‌‌,COL,6,4,2.43,75,0,0,0,6,11,77.2,41,25,21,5,6,36,112,0.99,.158
9SamS DysonDysonP9‌‌‌,SF,4,3,2.69,74,0,0,0,3,8,70.1,56,23,21,5,3,20,56,1.08,.228
9YusmeiroY PetitPetitP9‌‌‌,OAK,7,3,3.00,74,0,0,0,0,2,93.0,76,32,31,13,0,18,76,1.01,.221
11ScottS AlexanderAlexanderP11‌‌‌,LAD,2,1,3.68,73,1,0,0,3,6,66.0,57,28,27,4,2,27,56,1.27,.239
11TylerT ClippardClippardP11‌‌‌,TOR,4,3,3.67,73,1,0,0,7,13,68.2,57,29,28,13,2,23,85,1.17,.223
11EdwinE DíazDiazP11‌‌‌,SEA,0,4,1.96,73,0,0,0,57,61,73.1,41,17,16,5,6,17,124,0.79,.160
11JordanJ HicksHicksP11‌‌‌,STL,3,4,3.59,73,0,0,0,6,13,77.2,59,33,31,2,8,45,70,1.34,.208
11TrevorT HildenbergerHildenbergerP11‌‌‌,MIN,4,6,5.42,73,0,0,0,7,11,73.0,75,46,44,12,2,26,70,1.38,.263
11JeremyJ JeffressJeffressP11‌‌‌,MIL,8,1,1.29,73,0,0,0,15,20,76.2,49,12,11,5,1,27,89,0.99,.182
