Name,Team,Year,W,L,ERA,Games,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG
15TyT ButtreyButtreyP15‌‌‌,LAA,2019.0,6.0,7.0,3.98,72.0,0.0,0.0,0.0,2.0,6.0,72.1,69.0,34.0,32.0,8.0,5.0,23.0,84.0,1.27,0.247
15JuniorJ GuerraGuerraP15‌‌‌,MIL,2019.0,9.0,5.0,3.55,72.0,0.0,0.0,0.0,3.0,11.0,83.2,58.0,35.0,33.0,11.0,4.0,36.0,77.0,1.12,0.194
15JaredJ HughesHughesP15‌‌‌,PHI,2019.0,5.0,5.0,4.04,72.0,0.0,0.0,0.0,1.0,4.0,71.1,57.0,37.0,32.0,13.0,2.0,27.0,54.0,1.18,0.224
15TommyT KahnleKahnleP15‌‌‌,NYY,2019.0,3.0,2.0,3.67,72.0,0.0,0.0,0.0,0.0,5.0,61.1,45.0,27.0,25.0,9.0,2.0,20.0,88.0,1.06,0.2
15RichardR RodríguezRodriguezP15‌‌‌,PIT,2019.0,4.0,5.0,3.72,72.0,0.0,0.0,0.0,1.0,5.0,65.1,65.0,30.0,27.0,14.0,2.0,23.0,63.0,1.35,0.252
20PedroP BáezBaezP20‌‌‌,LAD,2019.0,7.0,2.0,3.1,71.0,0.0,0.0,0.0,1.0,7.0,69.2,43.0,30.0,24.0,6.0,4.0,23.0,69.0,0.95,0.174
20CarlosC EstévezEstevezP20‌‌‌,COL,2019.0,2.0,2.0,3.75,71.0,0.0,0.0,0.0,0.0,2.0,72.0,70.0,34.0,30.0,12.0,1.0,23.0,81.0,1.29,0.25
20HanselH RoblesRoblesP20‌‌‌,LAA,2019.0,5.0,1.0,2.48,71.0,1.0,0.0,0.0,23.0,27.0,72.2,58.0,20.0,20.0,6.0,0.0,16.0,75.0,1.02,0.221
20ChazC RoeRoeP20‌‌‌,TB,2019.0,1.0,3.0,4.06,71.0,0.0,0.0,0.0,1.0,6.0,51.0,49.0,27.0,23.0,3.0,1.0,31.0,65.0,1.57,0.251
20JoakimJ SoriaSoriaP20‌‌‌,OAK,2019.0,2.0,4.0,4.3,71.0,1.0,0.0,0.0,1.0,6.0,69.0,51.0,33.0,33.0,9.0,3.0,20.0,79.0,1.03,0.202
25MattM BarnesBarnesP25‌‌‌,BOS,2019.0,5.0,4.0,3.78,70.0,0.0,0.0,0.0,4.0,12.0,64.1,51.0,29.0,27.0,8.0,2.0,38.0,110.0,1.38,0.21
1BradB ZieglerZieglerP1‌‌‌,AZ,2018.0,2.0,6.0,3.91,82.0,0.0,0.0,0.0,10.0,12.0,73.2,71.0,34.0,32.0,8.0,2.0,25.0,50.0,1.3,0.257
2SteveS CishekCishekP2‌‌‌,CHC,2018.0,4.0,3.0,2.18,80.0,0.0,0.0,0.0,4.0,7.0,70.1,45.0,19.0,17.0,5.0,9.0,28.0,78.0,1.04,0.181
3AndrewA ChafinChafinP3‌‌‌,AZ,2018.0,1.0,6.0,3.1,77.0,0.0,0.0,0.0,0.0,0.0,49.1,41.0,18.0,17.0,0.0,2.0,25.0,53.0,1.34,0.227
3RyanR PresslyPresslyP3‌‌‌,HOU,2018.0,2.0,1.0,2.54,77.0,0.0,0.0,0.0,2.0,8.0,71.0,57.0,21.0,20.0,6.0,3.0,22.0,101.0,1.11,0.216
5JoseJ AlvarezAlvarezP5‌‌‌,LAA,2018.0,6.0,4.0,2.71,76.0,0.0,0.0,0.0,1.0,4.0,63.0,51.0,20.0,19.0,3.0,2.0,22.0,59.0,1.16,0.217
5ArchieA BradleyBradleyP5‌‌‌,AZ,2018.0,4.0,5.0,3.64,76.0,0.0,0.0,0.0,3.0,11.0,71.2,62.0,30.0,29.0,9.0,4.0,20.0,75.0,1.14,0.229
7YoshihisaY HiranoHiranoP7‌‌‌,AZ,2018.0,4.0,3.0,2.44,75.0,0.0,0.0,0.0,3.0,7.0,66.1,49.0,22.0,18.0,6.0,2.0,23.0,59.0,1.09,0.209
7AdamA OttavinoOttavinoP7‌‌‌,COL,2018.0,6.0,4.0,2.43,75.0,0.0,0.0,0.0,6.0,11.0,77.2,41.0,25.0,21.0,5.0,6.0,36.0,112.0,0.99,0.158
9SamS DysonDysonP9‌‌‌,SF,2018.0,4.0,3.0,2.69,74.0,0.0,0.0,0.0,3.0,8.0,70.1,56.0,23.0,21.0,5.0,3.0,20.0,56.0,1.08,0.228
9YusmeiroY PetitPetitP9‌‌‌,OAK,2018.0,7.0,3.0,3.0,74.0,0.0,0.0,0.0,0.0,2.0,93.0,76.0,32.0,31.0,13.0,0.0,18.0,76.0,1.01,0.221
11ScottS AlexanderAlexanderP11‌‌‌,LAD,2018.0,2.0,1.0,3.68,73.0,1.0,0.0,0.0,3.0,6.0,66.0,57.0,28.0,27.0,4.0,2.0,27.0,56.0,1.27,0.239
11TylerT ClippardClippardP11‌‌‌,TOR,2018.0,4.0,3.0,3.67,73.0,1.0,0.0,0.0,7.0,13.0,68.2,57.0,29.0,28.0,13.0,2.0,23.0,85.0,1.17,0.223
11EdwinE DíazDiazP11‌‌‌,SEA,2018.0,0.0,4.0,1.96,73.0,0.0,0.0,0.0,57.0,61.0,73.1,41.0,17.0,16.0,5.0,6.0,17.0,124.0,0.79,0.16
11JordanJ HicksHicksP11‌‌‌,STL,2018.0,3.0,4.0,3.59,73.0,0.0,0.0,0.0,6.0,13.0,77.2,59.0,33.0,31.0,2.0,8.0,45.0,70.0,1.34,0.208
11TrevorT HildenbergerHildenbergerP11‌‌‌,MIN,2018.0,4.0,6.0,5.42,73.0,0.0,0.0,0.0,7.0,11.0,73.0,75.0,46.0,44.0,12.0,2.0,26.0,70.0,1.38,0.263
11JeremyJ JeffressJeffressP11‌‌‌,MIL,2018.0,8.0,1.0,1.29,73.0,0.0,0.0,0.0,15.0,20.0,76.2,49.0,12.0,11.0,5.0,1.0,27.0,89.0,0.99,0.182
11JoeJ KellyKellyP11‌‌‌,BOS,2018.0,4.0,2.0,4.39,73.0,0.0,0.0,0.0,2.0,7.0,65.2,57.0,34.0,32.0,4.0,5.0,32.0,68.0,1.36,0.234
11SeunghwanS OhOhP11‌‌‌,COL,2018.0,6.0,3.0,2.63,73.0,0.0,0.0,0.0,3.0,9.0,68.1,52.0,21.0,20.0,8.0,4.0,17.0,79.0,1.01,0.209
11SergioS RomoRomoP11‌‌‌,TB,2018.0,3.0,4.0,4.14,73.0,5.0,0.0,0.0,25.0,33.0,67.1,65.0,31.0,31.0,11.0,2.0,20.0,75.0,1.26,0.253
11CraigC StammenStammenP11‌‌‌,SD,2018.0,8.0,3.0,2.73,73.0,0.0,0.0,0.0,0.0,5.0,79.0,65.0,25.0,24.0,3.0,3.0,17.0,88.0,1.04,0.221
21ZachZ DukeDukeP21‌‌‌,SEA,2018.0,5.0,5.0,4.15,72.0,0.0,0.0,0.0,0.0,3.0,52.0,57.0,28.0,24.0,1.0,6.0,21.0,51.0,1.5,0.271
21JaredJ HughesHughesP21‌‌‌,CIN,2018.0,4.0,3.0,1.94,72.0,0.0,0.0,0.0,7.0,11.0,78.2,57.0,17.0,17.0,4.0,2.0,23.0,59.0,1.02,0.212
21DanD JenningsJenningsP21‌‌‌,MIL,2018.0,4.0,5.0,3.22,72.0,1.0,0.0,0.0,1.0,3.0,64.1,66.0,27.0,23.0,6.0,1.0,23.0,45.0,1.38,0.275
